0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,gender
-359.61627,94.583916,-25.260454,9.949264,-3.6891177,-5.699784,-9.470291,-3.1141672,-10.361249,-11.9556265,-3.2941778,-10.682505,-14.08064,-9.091374,-3.6270034,-11.338572,-8.796078,0.54407674,-3.9861147,-6.1717105,1
-377.6112,92.70699,-30.533688,20.422157,-2.2445822,6.0459256,-7.611451,-6.699122,-6.750056,-7.890124,3.9520073,-3.9217944,-10.856206,-7.7514367,-3.6879172,-17.444458,-11.85439,1.0557446,-4.1826997,-7.4462104,1
-285.11404,127.49593,-42.96729,39.57232,9.609184,5.3052325,-20.28034,-19.646448,-18.636263,-12.68721,-2.178968,-9.974143,-11.229197,-15.621894,3.5452092,-13.506,-15.850939,2.187965,-8.9674225,-9.7562065,1
-490.7531,128.26096,-12.219141,35.26699,10.431263,4.2492085,1.4161958,-2.4744177,-9.302538,-8.429481,-0.33405402,-0.5142627,-3.206585,-1.2071154,3.7331421,-0.9503386,-3.914246,3.8755004,-3.4324045,-3.3308342,1
-567.4069,95.16857,1.1035099,21.590908,0.58873266,12.907256,5.9062934,13.784296,0.9288674,2.3588595,5.369478,4.633937,4.2520056,1.4229727,3.0670288,0.9965554,-2.543677,1.7622532,0.3847175,2.1810966,1
-505.5108,128.17593,-6.341115,37.177135,13.838526,0.27997154,-8.994577,-1.1539311,-10.16484,-5.383071,0.34370303,-0.2799186,-2.0657108,-4.192624,3.5229683,0.803927,-4.8250685,3.9352553,-1.2927362,-3.5391521,1
-580.5078,110.421646,2.4449544,34.70486,16.052568,7.6186366,0.66854894,2.797068,-1.4992474,2.5474005,1.2363496,1.1192591,0.59781253,-0.13248013,-1.1685492,-0.41598368,-1.9685074,1.700921,0.9224697,2.6462092,1
-291.81613,109.686264,-27.57717,16.743492,8.365228,-2.364644,-2.1140587,-7.02223,-8.0928335,2.5086372,-2.4084725,0.10309555,-3.767903,-6.097134,-3.7047772,-8.959987,-12.645615,-1.5028819,-4.7367444,-10.132813,0
-162.63916,106.08504,-11.722252,45.11129,0.16287391,12.910018,-9.893585,3.8556468,-10.894447,-2.3683796,-6.4613853,1.6780355,-4.6094127,-1.3696576,0.12309027,3.6940358,-2.3274453,2.88883,-2.1023736,0.83313876,1
-388.57016,126.026146,-19.138708,27.341715,6.306258,-23.658154,-0.19016804,-16.450132,-18.683111,-5.6048956,-9.030405,-3.8389587,-11.861278,-7.5510483,13.486633,-3.0108194,-16.036789,-4.234955,-6.542811,-7.5380416,0
-392.28705,101.64087,-23.096518,2.090842,2.8246462,-4.9794393,0.46518198,-9.252306,-5.0957255,-2.2094052,-4.435379,2.1813788,-6.419953,-5.5107403,9.822613,-0.8323559,-13.759182,-7.689041,-6.6064672,-8.572236,0
-416.82565,99.443565,-17.761223,10.030193,5.626106,-6.659684,1.6737804,-6.2476325,-7.148168,-7.20548,-8.53852,0.60081196,-4.24697,-9.193865,7.721736,3.6876814,-17.39159,-9.89253,-0.6693583,-9.852631,0
-371.5003,101.510925,-25.04629,20.389547,12.650835,-11.281826,-0.38689837,-6.3311844,-7.9089274,-8.703481,-8.861122,-0.5318432,-9.623376,-9.152647,9.827685,-2.2892554,-19.659212,-6.913842,0.039198242,-8.248878,0
-299.34378,115.8452,-28.000912,39.138565,2.657688,-3.0683494,-5.9909515,-5.649421,0.1947427,-7.864851,-6.999094,2.0646784,-6.6528106,-2.7841272,1.0500034,0.57356495,0.59060967,2.7736905,5.1835136,-1.1694894,1
-312.64935,127.944756,-21.02581,35.79676,3.1856463,0.35741904,-2.1643956,1.7855637,-10.74166,3.346564,-6.149555,5.6287503,1.3540782,2.0235987,-3.2196143,3.4152238,0.49013022,5.69471,4.1482306,5.9926715,1
-304.98044,111.957565,-26.302204,37.945187,5.8088417,-4.8832808,-6.827156,-4.419645,-6.6971407,0.27748245,-1.1261388,0.85940444,2.3791392,1.0190101,-4.4702873,2.7153895,-1.5234857,5.971776,2.6868815,2.209609,1
-258.61896,123.93119,-40.990158,43.07215,7.474724,-7.892039,-12.926527,-11.029729,-9.051201,-5.5269113,-4.231715,1.2565148,4.594343,-4.4447365,-3.767507,3.0888941,-3.6450303,2.9088311,0.032024965,4.5920644,1
